D00001	H2O	H2O
C00001	H2O	H2O
D08646	ATP	C10H16N5O13P3
C00002	ATP	C10H16N5O13P3
D00002	NAD+	C21H28N7O14P2
C00003	NAD+	C21H28N7O14P2
C00004	NADH	C21H29N7O14P2
C00005	NADPH	C21H30N7O17P3
C00006	NADP+	C21H29N7O17P3
D00003	Oxygen	O2
C00007	Oxygen	O2
G11113	ADP	C10H15N5O10P2
C00008	ADP	C10H15N5O10P2
D05467	Orthophosphate	H3PO4
C00009	Orthophosphate	H3PO4
C00010	CoA	C21H36N7O16P3S
D00004	CO2	CO2
C00011	CO2	CO2
C00012	Peptide	C2H4NO2R(C2H2NOR)n
C00013	Diphosphate	H4P2O7
D02916	Ammonia	NH3
C00014	Ammonia	NH3
G10619	UDP	C9H14N2O12P2
C00015	UDP	C9H14N2O12P2
D00005	FAD	C27H33N9O15P2
C00016	FAD	C27H33N9O15P2
C00017	Protein	C2H4NO2R(C2H2NOR)n
C00018	Pyridoxal_phosphate	C8H10NO6P
C00019	S-Adenosyl-L-methionine	C15H22N6O5S
D02769	AMP	C10H14N5O7P
C00020	AMP	C10H14N5O7P
C00021	S-Adenosyl-L-homocysteine	C14H20N6O5S
C00022	Pyruvate	C3H4O3
C00023	Iron	Fe
C00024	Acetyl-CoA	C23H38N7O17P3S
D00007	L-Glutamate	C5H9NO4
C00025	L-Glutamate	C5H9NO4
C00026	2-Oxoglutarate	C5H6O5
D00008	Hydrogen_peroxide	H2O2
C00027	Hydrogen_peroxide	H2O2
C00028	Acceptor	NA
G10608	UDP-glucose	C15H24N2O17P2
C00029	UDP-glucose	C15H24N2O17P2
C00030	Reduced_acceptor	NA
D00009	D-Glucose	C6H12O6
C00031	D-Glucose	C6H12O6
C00032	Heme	C34H32FeN4O4
D00010	Acetate	C2H4O2
C00033	Acetate	C2H4O2
C00034	Manganese	Mn
G10620	GDP	C10H15N5O11P2
C00035	GDP	C10H15N5O11P2
C00036	Oxaloacetate	C4H4O5
D00011	Glycine	C2H5NO2
C00037	Glycine	C2H5NO2
C00038	Zinc_cation	Zn
C00039	DNA	C10H17O8PR2(C5H8O5PR)n
C00040	Acyl-CoA	C22H35N7O17P3SR
D00012	L-Alanine	C3H7NO2
C00041	L-Alanine	C3H7NO2
C00042	Succinate	C4H6O4
G10610	UDP-N-acetyl-alpha-D-glucosamine	C17H27N3O17P2
C00043	UDP-N-acetyl-alpha-D-glucosamine	C17H27N3O17P2
C00044	GTP	C10H16N5O14P3
C00045	Amino_acid	C2H4NO2R
C00046	RNA	C10H18O13P2R2(C5H8O6PR)n
D02304	L-Lysine	C6H14N2O2
C00047	L-Lysine	C6H14N2O2
C00048	Glyoxylate	C2H2O3
D00013	L-Aspartate	C4H7NO4
C00049	L-Aspartate	C4H7NO4
C00050	Metal	NA
D00014	Glutathione	C10H17N3O6S
C00051	Glutathione	C10H17N3O6S
G10609	UDP-alpha-D-galactose	C15H24N2O17P2
C00052	UDP-alpha-D-galactose	C15H24N2O17P2
C00053	3'-Phosphoadenylyl_sulfate	C10H15N5O13P2S
C00054	Adenosine_3',5'-bisphosphate	C10H15N5O10P2
G10621	CMP	C9H14N3O8P
C00055	CMP	C9H14N3O8P
C00058	Formate	CH2O2
D05963	Sulfate	H2SO4
C00059	Sulfate	H2SO4
C00060	Carboxylate	CO2R
C00061	FMN	C17H21N4O9P
D02982	L-Arginine	C6H14N4O2
C00062	L-Arginine	C6H14N4O2
C00063	CTP	C9H16N3O14P3
D00015	L-Glutamine	C5H10N2O3
C00064	L-Glutamine	C5H10N2O3
D00016	L-Serine	C3H7NO3
C00065	L-Serine	C3H7NO3
C00066	tRNA	C10H17O10PR2(C5H8O6PR)n
D00017	Formaldehyde	CH2O
C00067	Formaldehyde	CH2O
C00068	Thiamin_diphosphate	C12H19N4O7P2S
C00069	Alcohol	HOR
C00070	Copper	Cu
C00071	Aldehyde	CHOR
D00018	Ascorbate	C6H8O6
C00072	Ascorbate	C6H8O6
D00019	L-Methionine	C5H11NO2S
C00073	L-Methionine	C5H11NO2S
C00074	Phosphoenolpyruvate	C3H5O6P
C00075	UTP	C9H15N2O15P3
C00076	Calcium_cation	Ca
D08302	L-Ornithine	C5H12N2O2
C00077	L-Ornithine	C5H12N2O2
D00020	L-Tryptophan	C11H12N2O2
C00078	L-Tryptophan	C11H12N2O2
D00021	L-Phenylalanine	C9H11NO2
C00079	L-Phenylalanine	C9H11NO2
C00080	H+	H
C00081	ITP	C10H15N4O14P3
D00022	L-Tyrosine	C9H11NO3
C00082	L-Tyrosine	C9H11NO3
C00083	Malonyl-CoA	C24H38N7O19P3S
C00084	Acetaldehyde	C2H4O
C00085	D-Fructose_6-phosphate	C6H13O9P
D00023	Urea	CH4N2O
C00086	Urea	CH4N2O
D00024	Sulfur	S
C00087	Sulfur	S
C00088	Nitrite	HNO2
D00025	Sucrose	C12H22O11
G00370	Sucrose	C12H22O11
C00089	Sucrose	C12H22O11
C00090	Catechol	C6H6O2
C00091	Succinyl-CoA	C25H40N7O19P3S
C00092	D-Glucose_6-phosphate	C6H13O9P
C00093	sn-Glycerol_3-phosphate	C3H9O6P
C00094	Sulfite	H2SO3
C00095	D-Fructose	C6H12O6
G10614	GDP-mannose	C16H25N5O16P2
C00096	GDP-mannose	C16H25N5O16P2
D00026	L-Cysteine	C3H7NO2S
C00097	L-Cysteine	C3H7NO2S
C00098	Oligopeptide	C2H4NO2R(C2H2NOR)n
D07561	beta-Alanine	C3H7NO2
C00099	beta-Alanine	C3H7NO2
C00100	Propanoyl-CoA	C24H40N7O17P3S
C00101	Tetrahydrofolate	C19H23N7O6
C00102	2,6-Dichloroindophenol	C12H7Cl2NO2
C00103	D-Glucose_1-phosphate	C6H13O9P
C00104	IDP	C10H14N4O11P2
C00105	UMP	C9H13N2O9P
D00027	Uracil	C4H4N2O2
C00106	Uracil	C4H4N2O2
C00107	Dipeptide	C4H6N2O3R2
C00108	Anthranilate	C7H7NO2
C00109	2-Oxobutanoate	C4H6O3
